                   t                divB                mass
    0.0000000000e+00    3.9786992484e-12    3.8453548222e-03
    1.0002174023e+00    3.9810134001e-12    3.8453555895e-03
    2.0001726683e+00    3.9794153255e-12    3.8453563861e-03
    3.0001306781e+00    3.9798228491e-12    3.8453571925e-03
    4.0000915215e+00    3.9767169372e-12    3.8453579996e-03
    5.0000552996e+00    3.9795026520e-12    3.8453588059e-03
    6.0000220688e+00    3.9762657504e-12    3.8453596187e-03
    7.0002688549e+00    3.9756253562e-12    3.8453604269e-03
    8.0002417796e+00    3.9747637350e-12    3.8453612455e-03
    9.0002178232e+00    3.9686625248e-12    3.8453620885e-03
    1.0000196928e+01    3.9754739903e-12    3.8453629512e-03
    1.1000179041e+01    3.9784285363e-12    3.8453638224e-03
    1.2000164100e+01    3.9785537042e-12    3.8453646961e-03
    1.3000152017e+01    3.9752469415e-12    3.8453655707e-03
    1.4000142699e+01    3.9763239681e-12    3.8453664466e-03
    1.5000136125e+01    3.9769847384e-12    3.8453673261e-03
    1.6000132280e+01    3.9835895313e-12    3.8453682122e-03
    1.7000131189e+01    3.9863781569e-12    3.8453691090e-03
    1.8000132916e+01    3.9905378082e-12    3.8453700193e-03
    1.9000137567e+01    3.9919117449e-12    3.8453709419e-03
    2.0000145291e+01    3.9910443018e-12    3.8453718720e-03
    2.1000156272e+01    3.9919379428e-12    3.8453728026e-03
    2.2000170708e+01    3.9970669181e-12    3.8453737275e-03
    2.3000188810e+01    3.9997012669e-12    3.8453746440e-03
    2.4000210791e+01    3.9968951760e-12    3.8453755550e-03
    2.5000236807e+01    3.9988047151e-12    3.8453764683e-03
    2.6000266953e+01    3.9986824580e-12    3.8453773941e-03
    2.7000024064e+01    3.9993781590e-12    3.8453783419e-03
    2.8000061338e+01    3.9978936088e-12    3.8453793183e-03
    2.9000101764e+01    4.0026208823e-12    3.8453803244e-03
    3.0000145526e+01    4.0077760555e-12    3.8453813569e-03
    3.1000192824e+01    4.0058141206e-12    3.8453824107e-03
    3.2000243874e+01    4.0050834890e-12    3.8453834801e-03
    3.3000021719e+01    3.9986795471e-12    3.8453845605e-03
    3.4000079294e+01    3.9981090141e-12    3.8453856500e-03
    3.5000139091e+01    3.9982458256e-12    3.8453867472e-03
    3.6000200915e+01    4.0065709501e-12    3.8453878517e-03
    3.7000264660e+01    4.0078604711e-12    3.8453889639e-03
    3.8000053276e+01    4.0113069562e-12    3.8453900839e-03
    3.9000120911e+01    4.0085183306e-12    3.8453912136e-03
    4.0000190710e+01    4.0093071798e-12    3.8453923547e-03
    4.1000262901e+01    4.0093566648e-12    3.8453935091e-03
    4.2000060729e+01    4.0127623976e-12    3.8453946775e-03
    4.3000138551e+01    4.0169133163e-12    3.8453958601e-03
    4.4000219638e+01    4.0133067326e-12    3.8453970551e-03
    4.5000027231e+01    4.0121278251e-12    3.8453982584e-03
    4.6000115621e+01    4.0119939245e-12    3.8453994660e-03
    4.7000207949e+01    4.0127594867e-12    3.8454006725e-03
    4.8000027266e+01    4.0174110772e-12    3.8454018734e-03
    4.9000127681e+01    4.0199813866e-12    3.8454030676e-03
    5.0000231986e+01    4.0150590840e-12    3.8454042552e-03
    5.1000062217e+01    4.0106432750e-12    3.8454054403e-03
    5.2000172552e+01    4.0077061943e-12    3.8454066307e-03
    5.3000009220e+01    4.0017010433e-12    3.8454078346e-03
    5.4000126567e+01    4.0019804881e-12    3.8454090607e-03
    5.5000247763e+01    4.0054997453e-12    3.8454103138e-03
    5.6000095912e+01    4.0061343177e-12    3.8454115955e-03
    5.7000224788e+01    4.0097845646e-12    3.8454129025e-03
    5.8000079447e+01    4.0137084344e-12    3.8454142279e-03
    5.9000213841e+01    4.0141596212e-12    3.8454155670e-03
    6.0000073799e+01    4.0160080318e-12    3.8454169165e-03
    6.1000213390e+01    4.0167473960e-12    3.8454182767e-03
    6.2000078556e+01    4.0197630704e-12    3.8454196463e-03
    6.3000223464e+01    4.0238004647e-12    3.8454210250e-03
    6.4000094117e+01    4.0272702369e-12    3.8454224158e-03
    6.5000244706e+01    4.0278436808e-12    3.8454238199e-03
    6.6000121212e+01    4.0231484270e-12    3.8454252337e-03
    6.7000000778e+01    4.0272061974e-12    3.8454266530e-03
    6.8000160483e+01    4.0159818338e-12    3.8454280744e-03
    6.9000046226e+01    4.0210060173e-12    3.8454294964e-03
    7.0000212076e+01    4.0210525914e-12    3.8454309215e-03
    7.1000103874e+01    4.0238877912e-12    3.8454323554e-03
    7.2000275660e+01    4.0217075401e-12    3.8454338071e-03
    7.3000173254e+01    4.0263242000e-12    3.8454352800e-03
    7.4000073666e+01    4.0258118846e-12    3.8454367716e-03
    7.5000253939e+01    4.0382238884e-12    3.8454382761e-03
    7.6000159957e+01    4.0414986314e-12    3.8454397870e-03
    7.7000068820e+01    4.0465606564e-12    3.8454413014e-03
    7.8000257668e+01    4.0466916462e-12    3.8454428190e-03
    7.9000172510e+01    4.0456990352e-12    3.8454443403e-03
    8.0000090546e+01    4.0432713590e-12    3.8454458678e-03
    8.1000011944e+01    4.0443134550e-12    3.8454474034e-03
    8.2000213959e+01    4.0458125596e-12    3.8454489484e-03
    8.3000142660e+01    4.0454254122e-12    3.8454505021e-03
    8.4000075269e+01    4.0534448940e-12    3.8454520654e-03
    8.5000011884e+01    4.0549672856e-12    3.8454536393e-03
    8.6000229577e+01    4.0562044108e-12    3.8454552256e-03
    8.7000173670e+01    4.0536806755e-12    3.8454568258e-03
    8.8000120854e+01    4.0552147107e-12    3.8454584435e-03
    8.9000071276e+01    4.0583817510e-12    3.8454600820e-03
    9.0000025127e+01    4.0603378642e-12    3.8454617419e-03
    9.1000259689e+01    4.0596945591e-12    3.8454634218e-03
    9.2000220541e+01    4.0603960818e-12    3.8454651159e-03
    9.3000183811e+01    4.0592783029e-12    3.8454668198e-03
    9.4000149233e+01    4.0616419396e-12    3.8454685302e-03
    9.5000116632e+01    4.0642675558e-12    3.8454702471e-03
    9.6000085917e+01    4.0670066964e-12    3.8454719731e-03
    9.7000057092e+01    4.0722753941e-12    3.8454737110e-03
    9.8000030255e+01    4.0742518834e-12    3.8454754618e-03
    9.9000005577e+01    4.0737570334e-12    3.8454772236e-03
    1.0000026038e+02    4.0765602134e-12    3.8454789917e-03
    1.0100024076e+02    4.0761817987e-12    3.8454807588e-03
    1.0200022411e+02    4.0720861867e-12    3.8454825208e-03
    1.0300021071e+02    4.0745458826e-12    3.8454842788e-03
    1.0400020085e+02    4.0705725277e-12    3.8454860395e-03
    1.0500019474e+02    4.0687241172e-12    3.8454878124e-03
    1.0600019255e+02    4.0697865894e-12    3.8454896055e-03
    1.0700019434e+02    4.0662120255e-12    3.8454914227e-03
    1.0800020016e+02    4.0621513441e-12    3.8454932616e-03
    1.0900020971e+02    4.0590396105e-12    3.8454951143e-03
    1.1000022210e+02    4.0603873492e-12    3.8454969715e-03
    1.1100023754e+02    4.0620989482e-12    3.8454988266e-03
    1.1200025634e+02    4.0581779892e-12    3.8455006786e-03
    1.1300000168e+02    4.0635049046e-12    3.8455025323e-03
    1.1400002794e+02    4.0637610622e-12    3.8455043981e-03
    1.1500005818e+02    4.0695187882e-12    3.8455062855e-03
    1.1600009211e+02    4.0685960384e-12    3.8455082015e-03
    1.1700012879e+02    4.0666573905e-12    3.8455101476e-03
    1.1800016804e+02    4.0710382689e-12    3.8455121197e-03
    1.1900020978e+02    4.0686397016e-12    3.8455141102e-03
    1.2000025395e+02    4.0680342380e-12    3.8455161115e-03
    1.2100002348e+02    4.0679061592e-12    3.8455181185e-03
    1.2200007266e+02    4.0664186981e-12    3.8455201315e-03
    1.2300012450e+02    4.0702697959e-12    3.8455221514e-03
    1.2400017915e+02    4.0744934867e-12    3.8455241799e-03
    1.2500023672e+02    4.0819948314e-12    3.8455262169e-03
    1.2600002023e+02    4.0820414055e-12    3.8455282596e-03
    1.2700008395e+02    4.0865503628e-12    3.8455303065e-03
    1.2800015080e+02    4.0859681862e-12    3.8455323554e-03
    1.2900022079e+02    4.0882590509e-12    3.8455344082e-03
    1.3000001677e+02    4.0902442729e-12    3.8455364697e-03
    1.3100009290e+02    4.0871674699e-12    3.8455385478e-03
    1.3200017202e+02    4.0875051323e-12    3.8455406477e-03
    1.3300025407e+02    4.0817415846e-12    3.8455427711e-03
    1.3400006190e+02    4.0828418982e-12    3.8455449137e-03
    1.3500014972e+02    4.0834386292e-12    3.8455470687e-03
    1.3600024040e+02    4.0771656770e-12    3.8455492267e-03
    1.3700005691e+02    4.0824227311e-12    3.8455513804e-03
    1.3800015357e+02    4.0893506319e-12    3.8455535284e-03
    1.3900025335e+02    4.0891323157e-12    3.8455556716e-03
    1.4000007927e+02    4.0868356293e-12    3.8455578148e-03
    1.4100018575e+02    4.0832465109e-12    3.8455599663e-03
    1.4200001874e+02    4.0820559599e-12    3.8455621322e-03
    1.4300013264e+02    4.0892836816e-12    3.8455643187e-03
    1.4400025041e+02    4.0931114924e-12    3.8455665272e-03
    1.4500009497e+02    4.0930590965e-12    3.8455687585e-03
    1.4600022044e+02    4.0911350030e-12    3.8455710145e-03
    1.4700007202e+02    4.0925031179e-12    3.8455732938e-03
    1.4800020389e+02    4.0875138650e-12    3.8455755952e-03
    1.4900006198e+02    4.0858313748e-12    3.8455779129e-03
    1.5000020068e+02    4.0874469147e-12    3.8455802421e-03
    1.5100006516e+02    4.0878369729e-12    3.8455825749e-03
    1.5200020915e+02    4.0843497355e-12    3.8455849065e-03
    1.5300007816e+02    4.0899822935e-12    3.8455872317e-03
    1.5400022626e+02    4.0889372866e-12    3.8455895516e-03
    1.5500009913e+02    4.0884657236e-12    3.8455918686e-03
    1.5600025104e+02    4.0944155678e-12    3.8455941920e-03
    1.5700012783e+02    4.0944097460e-12    3.8455965303e-03
    1.5800000677e+02    4.0935568574e-12    3.8455988930e-03
    1.5900016524e+02    4.0954081788e-12    3.8456012867e-03
    1.6000004924e+02    4.0954285550e-12    3.8456037112e-03
    1.6100021333e+02    4.0941157469e-12    3.8456061634e-03
    1.6200010359e+02    4.0907071033e-12    3.8456086328e-03
    1.6300027453e+02    4.0870044605e-12    3.8456111091e-03
    1.6400017209e+02    4.0831562736e-12    3.8456135794e-03
    1.6500007354e+02    4.0853161485e-12    3.8456160367e-03
    1.6600025608e+02    4.0907973406e-12    3.8456184797e-03
    1.6700016551e+02    4.0903024906e-12    3.8456209091e-03
    1.6800007851e+02    4.0878515273e-12    3.8456233311e-03
    1.6900027141e+02    4.0873188358e-12    3.8456257537e-03
    1.7000019021e+02    4.0844632599e-12    3.8456281842e-03
    1.7100011237e+02    4.0859448992e-12    3.8456306329e-03
    1.7200003815e+02    4.0897115814e-12    3.8456331076e-03
    1.7300024488e+02    4.0875167758e-12    3.8456356137e-03
    1.7400017843e+02    4.0884249712e-12    3.8456381522e-03
    1.7500011556e+02    4.0935801445e-12    3.8456407227e-03
    1.7600005534e+02    4.0946862799e-12    3.8456433199e-03
    1.7700027472e+02    4.0896329876e-12    3.8456459356e-03
    1.7800021932e+02    4.0874236276e-12    3.8456485566e-03
    1.7900016622e+02    4.0914435566e-12    3.8456511731e-03
    1.8000011545e+02    4.0921974752e-12    3.8456537787e-03
    1.8100006707e+02    4.0975127470e-12    3.8456563731e-03
    1.8200002122e+02    4.0989070598e-12    3.8456589619e-03
    1.8300025519e+02    4.1017830119e-12    3.8456615554e-03
    1.8400021483e+02    4.1010028953e-12    3.8456641616e-03
    1.8500017744e+02    4.0982259132e-12    3.8456667882e-03
    1.8600014311e+02    4.0902937579e-12    3.8456694385e-03
    1.8700011192e+02    4.0906576183e-12    3.8456721129e-03
    1.8800008389e+02    4.0901802335e-12    3.8456748095e-03
    1.8900005902e+02    4.0846641108e-12    3.8456775255e-03
    1.9000003725e+02    4.0867366593e-12    3.8456802568e-03
    1.9100001855e+02    4.0907333012e-12    3.8456829991e-03
    1.9200000287e+02    4.0920053569e-12    3.8456857477e-03
    1.9300026728e+02    4.0941885190e-12    3.8456884998e-03
    1.9400025744e+02    4.0936208968e-12    3.8456912482e-03
    1.9500025049e+02    4.0969247487e-12    3.8456939896e-03
    1.9600024653e+02    4.0958127915e-12    3.8456967225e-03
    1.9700024561e+02    4.0972478567e-12    3.8456994495e-03
    1.9800024768e+02    4.0969160160e-12    3.8457021480e-03
    1.9900025280e+02    4.0929979679e-12    3.8457048332e-03
    2.0000026119e+02    4.0936208968e-12    3.8457075590e-03
    2.0100027303e+02    4.0903723518e-12    3.8457103415e-03
    2.0200001131e+02    4.0925496920e-12    3.8457131622e-03
    2.0300003047e+02    4.0968898181e-12    3.8457160068e-03
    2.0400005336e+02    4.1015676066e-12    3.8457188688e-03
    2.0500007999e+02    4.1012561421e-12    3.8457217426e-03
    2.0600011029e+02    4.1051771011e-12    3.8457246195e-03
    2.0700014390e+02    4.1024379605e-12    3.8457274880e-03
    2.0800018068e+02    4.1048976564e-12    3.8457303529e-03
    2.0900022044e+02    4.1006244806e-12    3.8457332270e-03
    2.1000026278e+02    4.0972478567e-12    3.8457361190e-03
